the_geom,OBJECTID,TYPE,Lat,Long
POINT (-71.07901075381193 42.353088916148366),331,LIGHT,42.35308892,-71.07901075
POINT (-71.0785126980789 42.35285622749611),332,LIGHT,42.35285623,-71.0785127
POINT (-71.07856074948761 42.35295817156315),333,LIGHT,42.35295817,-71.07856075
POINT (-71.0789365410432 42.352856585525124),334,LIGHT,42.35285659,-71.07893654
POINT (-71.07871882342891 42.3526988827688),335,LIGHT,42.35269888,-71.07871882
POINT (-71.07880732383877 42.3526763206645),336,LIGHT,42.35267632,-71.07880732
POINT (-71.07864369754152 42.35254465600945),337,LIGHT,42.35254466,-71.0786437
POINT (-71.07873219315425 42.35252096318016),338,LIGHT,42.35252096,-71.07873219
POINT (-71.07851466687416 42.35228341213058),339,LIGHT,42.35228341,-71.07851467
POINT (-71.07860290625827 42.35225877945813),340,LIGHT,42.35225878,-71.07860291
POINT (-71.07845461535642 42.35215946594447),341,LIGHT,42.35215947,-71.07845462
POINT (-71.0784091581295 42.35245829937323),342,LIGHT,42.3524583,-71.07840916
POINT (-71.0769576763259 42.35291479727771),343,LIGHT,42.3529148,-71.07695768
POINT (-71.07738317048394 42.35279994969755),344,LIGHT,42.35279995,-71.07738317
POINT (-71.07786468952416 42.35266598508202),345,LIGHT,42.35266599,-71.07786469
POINT (-71.07829626771873 42.352549993287404),346,LIGHT,42.35254999,-71.07829627
POINT (-71.0785432304048 42.35273343711851),347,LIGHT,42.35273344,-71.07854323
POINT (-71.07847458505836 42.352588340440256),348,LIGHT,42.35258834,-71.07847459
POINT (-71.07814993636948 42.352146755600884),349,LIGHT,42.35214676,-71.07814994
POINT (-71.07794328257079 42.35220379328519),350,LIGHT,42.35220379,-71.07794328
POINT (-71.0777452457528 42.35225742673058),351,LIGHT,42.35225743,-71.07774525
POINT (-71.0775487295437 42.35231068099759),352,LIGHT,42.35231068,-71.07754873
POINT (-71.07734029202396 42.35236602660321),353,LIGHT,42.35236603,-71.07734029
POINT (-71.07713642279447 42.35242136432268),354,LIGHT,42.35242136,-71.07713642
POINT (-71.07691454248663 42.35247955686048),355,LIGHT,42.35247956,-71.07691454
POINT (-71.07671625132895 42.352533753884124),356,LIGHT,42.35253375,-71.07671625
POINT (-71.07650629362685 42.35259023035266),357,LIGHT,42.35259023,-71.07650629
POINT (-71.07631053643111 42.3526432926404),358,LIGHT,42.35264329,-71.07631054
POINT (-71.07627697062628 42.352701145893505),359,LIGHT,42.35270115,-71.07627697
POINT (-71.07618882238552 42.35252115001485),360,LIGHT,42.35252115,-71.07618882
POINT (-71.0760346504181 42.35271795967761),361,LIGHT,42.35271796,-71.07603465
POINT (-71.07614334530899 42.352739600926164),362,LIGHT,42.3527396,-71.07614335
POINT (-71.07605136958568 42.35255302321287),363,LIGHT,42.35255302,-71.07605137
POINT (-71.07817936261772 42.351988572608555),364,LIGHT,42.35198857,-71.07817936
POINT (-71.07610013484333 42.35234110615673),365,LIGHT,42.35234111,-71.07610013
POINT (-71.07596957697552 42.35238595625829),366,LIGHT,42.35238596,-71.07596958
POINT (-71.07836512690851 42.353012798939325),367,LIGHT,42.3530128,-71.07836513
POINT (-71.07821525813277 42.35305090962356),368,LIGHT,42.35305091,-71.07821526
POINT (-71.07802558610287 42.353102080425835),369,LIGHT,42.35310208,-71.07802559
POINT (-71.07782653172416 42.35315609290023),370,LIGHT,42.35315609,-71.07782653
POINT (-71.07747330715559 42.35325217463423),371,LIGHT,42.35325217,-71.07747331
POINT (-71.07728591372748 42.35330202376182),372,LIGHT,42.35330202,-71.07728591
POINT (-71.07709700353475 42.353353756716736),373,LIGHT,42.35335376,-71.077097
POINT (-71.07704590877277 42.35325181795154),374,LIGHT,42.35325182,-71.07704591
POINT (-71.07723330110868 42.35320159378911),375,LIGHT,42.35320159,-71.0772333
POINT (-71.07741359324943 42.35315326355023),376,LIGHT,42.35315326,-71.07741359
POINT (-71.07764776320522 42.35320442037834),377,LIGHT,42.35320442,-71.07764776
POINT (-71.07777670786793 42.353054717304985),378,LIGHT,42.35305472,-71.07777671
POINT (-71.07759564843943 42.35310097732606),379,LIGHT,42.35310098,-71.07759565
POINT (-71.07831594860455 42.35290769513963),380,LIGHT,42.3529077,-71.07831595
POINT (-71.07794956934833 42.353007342961966),381,LIGHT,42.35300734,-71.07794957
POINT (-71.07816043610464 42.352949431234265),382,LIGHT,42.35294943,-71.07816044
POINT (-71.07733557563448 42.35364157355093),383,LIGHT,42.35364157,-71.07733558
POINT (-71.07686546508931 42.353768255868665),384,LIGHT,42.35376826,-71.07686547
POINT (-71.07775965537225 42.351745862338134),385,LIGHT,42.35174586,-71.07775966
POINT (-71.07754589705544 42.35180328915716),386,LIGHT,42.35180329,-71.0775459
POINT (-71.07733975118818 42.35186032492423),387,LIGHT,42.35186032,-71.07733975
POINT (-71.07713613272622 42.35191434373859),388,LIGHT,42.35191434,-71.07713613
POINT (-71.07691907644875 42.351972716977016),389,LIGHT,42.35197272,-71.07691908
POINT (-71.07671393968744 42.35202824374837),390,LIGHT,42.35202824,-71.07671394
POINT (-71.07649688384944 42.3520866152926),391,LIGHT,42.35208662,-71.07649688
POINT (-71.07628717882235 42.35214252690975),392,LIGHT,42.35214253,-71.07628718
POINT (-71.07607215498487 42.352202023302326),393,LIGHT,42.35220202,-71.07607216
POINT (-71.07587081848632 42.35218545107837),394,LIGHT,42.35218545,-71.07587082
POINT (-71.07600545415393 42.3521458657201),395,LIGHT,42.35214587,-71.07600545
POINT (-71.07581486052244 42.35206977875948),396,LIGHT,42.35206978,-71.07581486
POINT (-71.07578599370422 42.35170105081966),397,LIGHT,42.35170105,-71.07578599
POINT (-71.07571700384443 42.35155848188207),398,LIGHT,42.35155848,-71.075717
POINT (-71.07557879972687 42.35159280323571),399,LIGHT,42.3515928,-71.0755788
POINT (-71.07548660050526 42.35156466461726),400,LIGHT,42.35156466,-71.0754866
POINT (-71.07572846820614 42.35148817813651),401,LIGHT,42.35148818,-71.07572847
POINT (-71.07559127355282 42.35130292312705),402,LIGHT,42.35130292,-71.07559127
POINT (-71.0754347163842 42.351452899990846),403,LIGHT,42.3514529,-71.07543472
POINT (-71.07523373004845 42.35150495262291),404,LIGHT,42.35150495,-71.07523373
POINT (-71.07503670903823 42.35155857976299),405,LIGHT,42.35155858,-71.07503671
POINT (-71.074888623045 42.35159837715176),406,LIGHT,42.35159838,-71.07488862
POINT (-71.07472278788522 42.35164309992386),407,LIGHT,42.3516431,-71.07472279
POINT (-71.07452830056097 42.351695968516694),408,LIGHT,42.35169597,-71.0745283
POINT (-71.0745806931551 42.35180826030201),409,LIGHT,42.35180826,-71.07458069
POINT (-71.07477822723226 42.35175576210326),410,LIGHT,42.35175576,-71.07477823
POINT (-71.07494152355682 42.35171066704964),411,LIGHT,42.35171067,-71.07494152
POINT (-71.07529094262426 42.35161629407662),412,LIGHT,42.35161629,-71.07529094
POINT (-71.07509017610509 42.35167202766011),413,LIGHT,42.35167203,-71.07509018
POINT (-71.07586900855748 42.351335434626435),414,LIGHT,42.35133543,-71.07586901
POINT (-71.07607911290503 42.3512780928793),415,LIGHT,42.35127809,-71.07607911
POINT (-71.0762957054573 42.35121840508962),416,LIGHT,42.35121841,-71.07629571
POINT (-71.07645774219796 42.35117688640409),417,LIGHT,42.35117689,-71.07645774
POINT (-71.07665410220197 42.351123371437964),418,LIGHT,42.35112337,-71.0766541
POINT (-71.07685949205211 42.35106840838613),419,LIGHT,42.35106841,-71.07685949
POINT (-71.07691879538895 42.3511669446825),420,LIGHT,42.35116694,-71.0769188
POINT (-71.07672329666558 42.35121981866163),421,LIGHT,42.35121982,-71.0767233
POINT (-71.07648849028779 42.35128198709939),422,LIGHT,42.35128199,-71.07648849
POINT (-71.07632215085347 42.3513270902395),423,LIGHT,42.35132709,-71.07632215
POINT (-71.07612893202271 42.351379018201726),424,LIGHT,42.35137902,-71.07612893
POINT (-71.07592303653516 42.35143510975217),425,LIGHT,42.35143511,-71.07592304
POINT (-71.07465519188554 42.35213956570474),426,LIGHT,42.35213957,-71.07465519
POINT (-71.0751304541529 42.35201329496363),427,LIGHT,42.3520133,-71.07513045
POINT (-71.07545314257614 42.35133419531366),428,LIGHT,42.3513342,-71.07545314
POINT (-71.07533665231763 42.35110022154617),429,LIGHT,42.35110022,-71.07533665
POINT (-71.0752147806679 42.35084988027792),430,LIGHT,42.35084988,-71.07521478
POINT (-71.07533291683988 42.350542133413285),431,LIGHT,42.35054213,-71.07533292
POINT (-71.0754518765198 42.350677271556584),432,LIGHT,42.35067727,-71.07545188
POINT (-71.07512636610467 42.35078628566711),433,LIGHT,42.35078629,-71.07512637
POINT (-71.07500533830752 42.35063910265031),434,LIGHT,42.3506391,-71.07500534
POINT (-71.07487912820025 42.35084979133992),435,LIGHT,42.35084979,-71.07487913
POINT (-71.07456673593175 42.35093468494715),436,LIGHT,42.35093468,-71.07456674
POINT (-71.0743910142828 42.350982248895555),437,LIGHT,42.35098225,-71.07439101
POINT (-71.07418993851445 42.351037763696056),438,LIGHT,42.35103776,-71.07418994
POINT (-71.07375210799258 42.35097747501093),439,LIGHT,42.35097748,-71.07375211
POINT (-71.07396535961605 42.350920056054846),440,LIGHT,42.35092006,-71.07396536
POINT (-71.07419433027174 42.350857714500165),441,LIGHT,42.35085771,-71.07419433
POINT (-71.07448618555408 42.350779071356165),442,LIGHT,42.35077907,-71.07448619
POINT (-71.07472529685806 42.35071369807735),443,LIGHT,42.3507137,-71.0747253
POINT (-71.07506358604513 42.35055439973638),444,LIGHT,42.3505544,-71.07506359
POINT (-71.07499102521928 42.3504050595335),445,LIGHT,42.35040506,-71.07499103
POINT (-71.07398127165499 42.35109436278258),446,LIGHT,42.35109436,-71.07398127
POINT (-71.07440389537746 42.35067447617404),447,LIGHT,42.35067448,-71.0744039
POINT (-71.07454386611859 42.350637329550096),448,LIGHT,42.35063733,-71.07454387
POINT (-71.07560115385455 42.35047180083668),449,LIGHT,42.3504718,-71.07560115
POINT (-71.07575108993665 42.3503312109419),450,LIGHT,42.35033121,-71.07575109
POINT (-71.07569615452138 42.35061279762352),451,LIGHT,42.3506128,-71.07569615
POINT (-71.07516652208997 42.35043440662864),452,LIGHT,42.35043441,-71.07516652
POINT (-71.07507378697882 42.35024688890687),453,LIGHT,42.35024689,-71.07507379
POINT (-71.07495825801601 42.35001106814075),454,LIGHT,42.35001107,-71.07495826
POINT (-71.07478739002678 42.349989348901055),455,LIGHT,42.34998935,-71.07478739
POINT (-71.07463602290655 42.349955357649044),456,LIGHT,42.34995536,-71.07463602
POINT (-71.07462679855794 42.349849766152744),457,LIGHT,42.34984977,-71.0746268
POINT (-71.07450102553224 42.349881993104674),458,LIGHT,42.34988199,-71.07450103
POINT (-71.07437804622823 42.34991477943774),459,LIGHT,42.34991478,-71.07437805
POINT (-71.07394217069941 42.350032834710355),460,LIGHT,42.35003283,-71.07394217
POINT (-71.07382299481128 42.350065049353695),461,LIGHT,42.35006505,-71.07382299
POINT (-71.07294667288663 42.35030191582618),462,LIGHT,42.35030192,-71.07294667
POINT (-71.07325957275918 42.3502170257947),463,LIGHT,42.35021703,-71.07325957
POINT (-71.07353595406401 42.35014085925097),464,LIGHT,42.35014086,-71.07353595
POINT (-71.0731838551147 42.35034705206032),465,LIGHT,42.35034705,-71.07318386
POINT (-71.07299469445805 42.350398214677774),466,LIGHT,42.35039821,-71.07299469
POINT (-71.07341713924514 42.350284892813924),467,LIGHT,42.35028489,-71.07341714
POINT (-71.07455781934335 42.34951569817411),468,LIGHT,42.3495157,-71.07455782
POINT (-71.07462680425488 42.349658645093086),469,LIGHT,42.34965865,-71.0746268
POINT (-71.07469731160539 42.34980121137094),470,LIGHT,42.34980121,-71.07469731
POINT (-71.07815249800655 42.35134225603433),471,LIGHT,42.35134226,-71.0781525
POINT (-71.07648918645134 42.353002602265796),472,LIGHT,42.3530026,-71.07648919
POINT (-71.07447816496789 42.34935399736455),473,LIGHT,42.349354,-71.07447817
POINT (-71.07440794408286 42.349209228081044),474,LIGHT,42.34920923,-71.07440794
POINT (-71.07422321146352 42.34882560334602),475,LIGHT,42.3488256,-71.07422321
POINT (-71.07393622481338 42.34899539769102),476,LIGHT,42.3489954,-71.07393622
POINT (-71.07376386849822 42.349041024921455),477,LIGHT,42.34904102,-71.07376387
POINT (-71.07356464754885 42.34909462878593),478,LIGHT,42.34909463,-71.07356465
POINT (-71.07398840951214 42.34911158011551),479,LIGHT,42.34911158,-71.07398841
POINT (-71.0743852036063 42.350022477187785),480,LIGHT,42.35002248,-71.0743852
POINT (-71.07411493577753 42.3500961737038),481,LIGHT,42.35009617,-71.07411494
POINT (-71.07387798602309 42.35015946865116),482,LIGHT,42.35015947,-71.07387799
POINT (-71.07360267540096 42.35023403746684),483,LIGHT,42.35023404,-71.07360268
POINT (-71.07579778603156 42.3522736973963),484,LIGHT,42.3522737,-71.07579779
POINT (-71.07559772778396 42.35233071919174),485,LIGHT,42.35233072,-71.07559773
POINT (-71.0740792290322 42.35229670434843),486,LIGHT,42.3522967,-71.07407923
POINT (-71.07827690408953 42.352183514730676),487,LIGHT,42.35218351,-71.0782769
POINT (-71.07772124188416 42.35409617503978),488,LIGHT,42.35409618,-71.07772124
POINT (-71.07747791818511 42.354160908854524),489,LIGHT,42.35416091,-71.07747792
POINT (-71.07711079828275 42.35426093931225),490,LIGHT,42.35426094,-71.0771108
POINT (-71.07703499749333 42.35413008240784),491,LIGHT,42.35413008,-71.077035
POINT (-71.07739573019023 42.35403162493436),492,LIGHT,42.35403162,-71.07739573
POINT (-71.0776907611545 42.353951601596904),493,LIGHT,42.3539516,-71.07769076
POINT (-71.07705572867786 42.35433077578457),494,LIGHT,42.35433078,-71.07705573
POINT (-71.07716897271496 42.35481637942704),495,LIGHT,42.35481638,-71.07716897
POINT (-71.07678813441616 42.35434873071335),496,LIGHT,42.35434873,-71.07678813
POINT (-71.07650283374801 42.3544251531001),497,LIGHT,42.35442515,-71.07650283
POINT (-71.07620658284789 42.3545051725006),498,LIGHT,42.35450517,-71.07620658
POINT (-71.07583732964456 42.354605421512744),499,LIGHT,42.35460542,-71.07583733
POINT (-71.07670740953537 42.35421791489096),500,LIGHT,42.35421791,-71.07670741
POINT (-71.07637405091499 42.354307824662364),501,LIGHT,42.35430782,-71.07637405
POINT (-71.07611064727114 42.354380205209644),502,LIGHT,42.35438021,-71.07611065
POINT (-71.07554612505105 42.354532599307646),503,LIGHT,42.3545326,-71.07554613
POINT (-71.07557469566456 42.35467606071099),504,LIGHT,42.35467606,-71.0755747
POINT (-71.07676262984246 42.35368615625933),505,LIGHT,42.35368616,-71.07676263
POINT (-71.0767654639538 42.354008401390914),506,LIGHT,42.3540084,-71.07676546
POINT (-71.07644547295807 42.35353118559663),507,LIGHT,42.35353119,-71.07644547
POINT (-71.07665880980166 42.353357284164275),508,LIGHT,42.35335728,-71.07665881
POINT (-71.07669877538342 42.35346150128381),509,LIGHT,42.3534615,-71.07669878
POINT (-71.07690073457802 42.35340665427216),510,LIGHT,42.35340665,-71.07690073
POINT (-71.07685680980573 42.35330581675018),511,LIGHT,42.35330582,-71.07685681
POINT (-71.07642041118436 42.35299595149009),512,LIGHT,42.35299595,-71.07642041
POINT (-71.07583307269569 42.35277387432323),513,LIGHT,42.35277387,-71.07583307
POINT (-71.07560161448731 42.352834782092465),514,LIGHT,42.35283478,-71.07560161
POINT (-71.07541364700546 42.352886030509644),515,LIGHT,42.35288603,-71.07541365
POINT (-71.07520165249356 42.35294289500861),516,LIGHT,42.3529429,-71.07520165
POINT (-71.07499847831534 42.3529968360613),517,LIGHT,42.35299684,-71.07499848
POINT (-71.07478526686191 42.35305369889756),518,LIGHT,42.3530537,-71.07478527
POINT (-71.07458421941595 42.353108767945685),519,LIGHT,42.35310877,-71.07458422
POINT (-71.07437374214089 42.35316630905119),520,LIGHT,42.35316631,-71.07437374
POINT (-71.07416843728409 42.353221373319705),521,LIGHT,42.35322137,-71.07416844
POINT (-71.0741430804573 42.35329689394601),522,LIGHT,42.35329689,-71.07414308
POINT (-71.07399373304865 42.35334073322035),523,LIGHT,42.35334073,-71.07399373
POINT (-71.07391446515717 42.35329037527021),524,LIGHT,42.35329038,-71.07391447
POINT (-71.07387976790818 42.35312730576441),525,LIGHT,42.35312731,-71.07387977
POINT (-71.07405070024696 42.3530837122448),526,LIGHT,42.35308371,-71.0740507
POINT (-71.0746625684447 42.352975566239806),527,LIGHT,42.35297557,-71.07466257
POINT (-71.07556255994918 42.352732595386634),528,LIGHT,42.3527326,-71.07556256
POINT (-71.07425312946124 42.35344455389341),529,LIGHT,42.35344455,-71.07425313
POINT (-71.07422640254318 42.35339180323396),530,LIGHT,42.3533918,-71.0742264
POINT (-71.07628377652505 42.353573548191406),531,LIGHT,42.35357355,-71.07628378
POINT (-71.07613214453133 42.35361465123787),532,LIGHT,42.35361465,-71.07613214
POINT (-71.07595826670685 42.35365964053813),533,LIGHT,42.35365964,-71.07595827
POINT (-71.07577970103884 42.35370896608825),534,LIGHT,42.35370897,-71.0757797
POINT (-71.07560757759376 42.353755258649876),535,LIGHT,42.35375526,-71.07560758
POINT (-71.07543340430725 42.35380219969826),536,LIGHT,42.3538022,-71.0754334
POINT (-71.0752565944131 42.3538502245981),537,LIGHT,42.35385022,-71.07525659
POINT (-71.07505080413333 42.35390668679737),538,LIGHT,42.35390669,-71.0750508
POINT (-71.07488453444839 42.35395124704406),539,LIGHT,42.35395125,-71.07488453
POINT (-71.07471182293982 42.35399797183409),540,LIGHT,42.35399797,-71.07471182
POINT (-71.0748478409709 42.35384313413124),541,LIGHT,42.35384313,-71.07484784
POINT (-71.0751920882268 42.35375141890258),542,LIGHT,42.35375142,-71.07519209
POINT (-71.07623361312315 42.353470632981555),543,LIGHT,42.35347063,-71.07623361
POINT (-71.07608403018932 42.35351065236326),544,LIGHT,42.35351065,-71.07608403
POINT (-71.07555799800957 42.35365321138012),545,LIGHT,42.35365321,-71.075558
POINT (-71.07536479870767 42.35370469338872),546,LIGHT,42.35370469,-71.0753648
POINT (-71.07590810516253 42.35355850866918),547,LIGHT,42.35355851,-71.07590811
POINT (-71.07539386530472 42.35238538043487),548,LIGHT,42.35238538,-71.07539387
POINT (-71.07519722629382 42.35243776595787),549,LIGHT,42.35243777,-71.07519723
POINT (-71.07500437171917 42.35248903076523),550,LIGHT,42.35248903,-71.07500437
POINT (-71.07478091753298 42.35254773914668),551,LIGHT,42.35254774,-71.07478092
POINT (-71.07457555819484 42.35260367632124),552,LIGHT,42.35260368,-71.07457556
POINT (-71.07436642850506 42.35266160142148),553,LIGHT,42.3526616,-71.07436643
POINT (-71.07415464620216 42.352718465679544),554,LIGHT,42.35271847,-71.07415465
POINT (-71.07395161926507 42.35277394582904),555,LIGHT,42.35277395,-71.07395162
POINT (-71.07443503073242 42.35275668656402),556,LIGHT,42.35275669,-71.07443503
POINT (-71.07535000212773 42.352509283956216),557,LIGHT,42.35250928,-71.07535
POINT (-71.07381041337051 42.35298612441568),558,LIGHT,42.35298612,-71.07381041
POINT (-71.07397965537233 42.35294007144417),559,LIGHT,42.35294007,-71.07397966
POINT (-71.0737164585919 42.3527714204999),560,LIGHT,42.35277142,-71.07371646
POINT (-71.07386481753053 42.35272603752361),561,LIGHT,42.35272604,-71.07386482
POINT (-71.0737105653039 42.35299971873287),562,LIGHT,42.35299972,-71.07371057
POINT (-71.07307645833383 42.35312232672037),563,LIGHT,42.35312233,-71.07307646
POINT (-71.07367291349553 42.352848134013826),564,LIGHT,42.35284813,-71.07367291
POINT (-71.07347612531876 42.352898092462894),565,LIGHT,42.35289809,-71.07347613
POINT (-71.07354185666081 42.35241955340289),566,LIGHT,42.35241955,-71.07354186
POINT (-71.0733905221787 42.35252143889298),567,LIGHT,42.35252144,-71.07339052
POINT (-71.07312669988825 42.35259853129182),568,LIGHT,42.35259853,-71.0731267
POINT (-71.07303676529347 42.35257505002675),569,LIGHT,42.35257505,-71.07303677
POINT (-71.0733001195489 42.352504907244),570,LIGHT,42.35250491,-71.07330012
POINT (-71.0734261095161 42.352177825385844),571,LIGHT,42.35217783,-71.07342611
POINT (-71.07357556275016 42.35213846618663),572,LIGHT,42.35213847,-71.07357556
POINT (-71.07336401468287 42.35213932905382),573,LIGHT,42.35213933,-71.07336401
POINT (-71.07330411607882 42.3520046618377),574,LIGHT,42.35200466,-71.07330412
POINT (-71.07354597164176 42.351961413240076),575,LIGHT,42.35196141,-71.07354597
POINT (-71.07359146437128 42.35207450905494),576,LIGHT,42.35207451,-71.07359146
POINT (-71.07321917717996 42.3521747384267),577,LIGHT,42.35217474,-71.07321918
POINT (-71.07315558032434 42.352046399058274),578,LIGHT,42.3520464,-71.07315558
POINT (-71.0730514039477 42.35222099379848),579,LIGHT,42.35222099,-71.0730514
POINT (-71.07250548233249 42.35236709590543),580,LIGHT,42.3523671,-71.07250548
POINT (-71.07266365597125 42.352324185348195),581,LIGHT,42.35232419,-71.07266366
POINT (-71.07287078607257 42.352269103532116),582,LIGHT,42.3522691,-71.07287079
POINT (-71.07298779261006 42.35209178640315),583,LIGHT,42.35209179,-71.07298779
POINT (-71.07280864111483 42.35214009954858),584,LIGHT,42.3521401,-71.07280864
POINT (-71.07260063038761 42.352194972713484),585,LIGHT,42.35219497,-71.07260063
POINT (-71.07243781957173 42.352240529904115),586,LIGHT,42.35224053,-71.07243782
POINT (-71.07223388891342 42.35229449657914),587,LIGHT,42.3522945,-71.07223389
POINT (-71.07230392113513 42.35242277756455),588,LIGHT,42.35242278,-71.07230392
POINT (-71.07203610695353 42.352348623521),589,LIGHT,42.35234862,-71.07203611
POINT (-71.07210406494808 42.352475404225785),590,LIGHT,42.3524754,-71.07210406
POINT (-71.07373604680068 42.35191025580857),591,LIGHT,42.35191026,-71.07373605
POINT (-71.07392305677513 42.35185948103375),592,LIGHT,42.35185948,-71.07392306
POINT (-71.0741467836775 42.351799685974086),593,LIGHT,42.35179969,-71.07414678
POINT (-71.0743864893127 42.35173301467929),594,LIGHT,42.35173301,-71.07438649
POINT (-71.07436007174431 42.35186782642115),595,LIGHT,42.35186783,-71.07436007
POINT (-71.07420101819399 42.351910529882815),596,LIGHT,42.35191053,-71.07420102
POINT (-71.07397848944346 42.35197205084319),597,LIGHT,42.35197205,-71.07397849
POINT (-71.07378561494741 42.35202201081526),598,LIGHT,42.35202201,-71.07378561
POINT (-71.07331028641123 42.35193903280363),599,LIGHT,42.35193903,-71.07331029
POINT (-71.07316607749819 42.351648173522925),600,LIGHT,42.35164817,-71.07316608
POINT (-71.07322858366767 42.351291644412704),601,LIGHT,42.35129164,-71.07322858
POINT (-71.07289048050669 42.351161055964496),602,LIGHT,42.35116106,-71.07289048
POINT (-71.07297721767365 42.35134344400211),603,LIGHT,42.35134344,-71.07297722
POINT (-71.07272407596373 42.35141153801894),604,LIGHT,42.35141154,-71.07272408
POINT (-71.07241095434463 42.35149754663364),605,LIGHT,42.35149755,-71.07241095
POINT (-71.07210915105637 42.35157802461101),606,LIGHT,42.35157802,-71.07210915
POINT (-71.07179514002046 42.35166338903554),607,LIGHT,42.35166339,-71.07179514
POINT (-71.07169319400924 42.351533881490376),608,LIGHT,42.35153388,-71.07169319
POINT (-71.07203780606106 42.35144107418892),609,LIGHT,42.35144107,-71.07203781
POINT (-71.07238097139258 42.35134936423393),610,LIGHT,42.35134936,-71.07238097
POINT (-71.07253591336756 42.35130583143686),611,LIGHT,42.35130583,-71.07253591
POINT (-71.072881114778 42.35121345054167),612,LIGHT,42.35121345,-71.07288111
POINT (-71.07328029027634 42.351105211319876),613,LIGHT,42.35110521,-71.07328029
POINT (-71.07353166820589 42.35103669810637),614,LIGHT,42.3510367,-71.07353167
POINT (-71.07364552169169 42.351178248156984),615,LIGHT,42.35117825,-71.07364552
POINT (-71.07343753763224 42.351234424752995),616,LIGHT,42.35123442,-71.07343754
POINT (-71.07363865305611 42.35126164997976),617,LIGHT,42.35126165,-71.07363865
POINT (-71.07349734285613 42.351297895646276),618,LIGHT,42.3512979,-71.07349734
POINT (-71.07342010002606 42.35156058059477),619,LIGHT,42.35156058,-71.0734201
POINT (-71.07346676751985 42.35165651857808),620,LIGHT,42.35165652,-71.07346677
POINT (-71.0739164379121 42.35152953041389),621,LIGHT,42.35152953,-71.07391644
POINT (-71.07393003731606 42.35127567887729),622,LIGHT,42.35127568,-71.07393004
POINT (-71.07372152523686 42.35171591465032),623,LIGHT,42.35171591,-71.07372153
POINT (-71.0738158961782 42.35168986880798),624,LIGHT,42.35168987,-71.0738159
POINT (-71.07306732033526 42.35104893496521),625,LIGHT,42.35104894,-71.07306732
POINT (-71.07296400939177 42.350837832762465),626,LIGHT,42.35083783,-71.07296401
POINT (-71.07288646991 42.350680537566326),627,LIGHT,42.35068054,-71.07288647
POINT (-71.07280104810187 42.35050681872073),628,LIGHT,42.35050682,-71.07280105
POINT (-71.07260815577075 42.35057305662479),629,LIGHT,42.35057306,-71.07260816
POINT (-71.07270697186847 42.35030539898649),630,LIGHT,42.3503054,-71.07270697
POINT (-71.07245907779102 42.350267092064115),631,LIGHT,42.35026709,-71.07245908
POINT (-71.07258942200545 42.35006512536293),632,LIGHT,42.35006513,-71.07258942
POINT (-71.07241741243574 42.35040637969083),633,LIGHT,42.35040638,-71.07241741
POINT (-71.07225223634839 42.350450222672926),634,LIGHT,42.35045022,-71.07225224
POINT (-71.07208531165007 42.35049451535885),635,LIGHT,42.35049452,-71.07208531
POINT (-71.07268598931267 42.35072874248683),636,LIGHT,42.35072874,-71.07268599
POINT (-71.0727881007038 42.35093812003519),637,LIGHT,42.35093812,-71.0727881
POINT (-71.07253174586792 42.35053707694766),638,LIGHT,42.35053708,-71.07253175
POINT (-71.07167191033987 42.35112055408546),639,LIGHT,42.35112055,-71.07167191
POINT (-71.07126166294945 42.351141880038995),640,LIGHT,42.35114188,-71.07126166
POINT (-71.07095359176445 42.35131494279398),641,LIGHT,42.35131494,-71.07095359
POINT (-71.07061460710916 42.351318124051204),642,LIGHT,42.35131812,-71.07061461
POINT (-71.07287762522785 42.351775288637015),643,LIGHT,42.35177529,-71.07287763
POINT (-71.07243298064478 42.35189403396271),644,LIGHT,42.35189403,-71.07243298
POINT (-71.07192217299365 42.35203442007046),645,LIGHT,42.35203442,-71.07192217
POINT (-71.07639660286588 42.35342868575382),646,LIGHT,42.35342869,-71.0763966
POINT (-71.07573755745078 42.35360357383795),647,LIGHT,42.35360357,-71.07573756
POINT (-71.07466265457238 42.35389199683146),648,LIGHT,42.353892,-71.07466265
POINT (-71.07454175512454 42.35392552836986),649,LIGHT,42.35392553,-71.07454176
POINT (-71.07499741562155 42.35379862027242),650,LIGHT,42.35379862,-71.07499742
POINT (-71.07269974398518 42.35084455666739),651,LIGHT,42.35084456,-71.07269974
POINT (-71.0723616106603 42.35058480621542),652,LIGHT,42.35058481,-71.07236161
POINT (-71.07218712805278 42.350631752909855),653,LIGHT,42.35063175,-71.07218713
POINT (-71.0720057220355 42.35068103683649),654,LIGHT,42.35068104,-71.07200572
POINT (-71.07182808817387 42.35072957917872),655,LIGHT,42.35072958,-71.07182809
POINT (-71.07165237902491 42.35077525198552),656,LIGHT,42.35077525,-71.07165238
POINT (-71.07134486326673 42.35085833823316),657,LIGHT,42.35085834,-71.07134486
POINT (-71.07168588681806 42.35060434932958),658,LIGHT,42.35060435,-71.07168589
POINT (-71.07074934332985 42.351019209062756),659,LIGHT,42.35101921,-71.07074934
POINT (-71.0709793912417 42.35095747391206),660,LIGHT,42.35095747,-71.07097939
POINT (-71.0705155767703 42.351082987031305),661,LIGHT,42.35108299,-71.07051558
POINT (-71.07146784295874 42.35066311284971),662,LIGHT,42.35066311,-71.07146784
POINT (-71.07118946986215 42.35073643018572),663,LIGHT,42.35073643,-71.07118947
